,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
79,Vietnam,123,0,0.0,0.0,17.0,106,2.0,1.0
80,Faeroe Islands,118,0,0.0,0.0,23.0,95,0.0,2415.0
81,Cyprus,116,0,1.0,0.0,3.0,112,3.0,96.0
82,Moldova,109,0,1.0,0.0,2.0,106,3.0,27.0
83,Malta,107,0,0.0,0.0,2.0,105,1.0,242.0
84,Albania,104,0,4.0,0.0,2.0,98,2.0,36.0
85,Burkina Faso,99,0,4.0,0.0,5.0,90,0.0,5.0
86,Sri Lanka,97,0,0.0,0.0,2.0,95,2.0,5.0
87,Brunei,91,0,0.0,0.0,2.0,89,2.0,208.0
88,Tunisia,89,0,3.0,0.0,1.0,85,11.0,8.0
89,Cambodia,87,0,0.0,0.0,2.0,85,1.0,5.0
90,Venezuela,84,0,0.0,0.0,15.0,69,2.0,3.0
91,Belarus,81,0,0.0,0.0,22.0,59,0.0,9.0
92,Senegal,79,0,0.0,0.0,8.0,71,0.0,5.0
93,Ukraine,73,0,3.0,0.0,1.0,69,0.0,2.0
94,Azerbaijan,72,0,1.0,0.0,10.0,61,3.0,7.0
95,Réunion,71,0,0.0,0.0,1.0,70,0.0,79.0
96,Kazakhstan,66,4,0.0,0.0,0.0,66,0.0,4.0
97,Oman,66,0,0.0,0.0,17.0,49,0.0,13.0
98,Guadeloupe,62,0,1.0,0.0,0.0,61,4.0,155.0
99,Georgia,61,0,0.0,0.0,8.0,53,1.0,15.0
100,Palestine,59,0,0.0,0.0,17.0,42,0.0,12.0
101,Cameroon,56,0,0.0,0.0,2.0,54,0.0,2.0
102,Martinique,53,0,1.0,0.0,0.0,52,7.0,141.0
103,Trinidad and Tobago,52,1,0.0,0.0,0.0,52,0.0,37.0
104,Liechtenstein,51,0,0.0,0.0,0.0,51,0.0,1338.0
105,Uzbekistan,46,0,0.0,0.0,0.0,46,0.0,1.0
106,Afghanistan,42,2,1.0,0.0,1.0,40,0.0,1.0
107,Cuba,40,0,1.0,0.0,0.0,39,3.0,4.0
108,Nigeria,40,0,1.0,0.0,2.0,37,0.0,0.2
109,DRC,36,0,2.0,0.0,0.0,34,0.0,0.4
110,Mauritius,36,0,2.0,0.0,0.0,34,1.0,28.0
111,Channel Islands,36,0,0.0,0.0,0.0,36,0.0,207.0
112,Rwanda,36,0,0.0,0.0,0.0,36,0.0,3.0
113,Bangladesh,33,0,3.0,0.0,5.0,25,0.0,0.2
114,Puerto Rico,31,0,2.0,0.0,1.0,28,0.0,11.0
115,Honduras,30,0,0.0,0.0,0.0,30,0.0,3.0
116,Guam,29,0,1.0,0.0,0.0,28,0.0,172.0
117,Ghana,27,0,2.0,0.0,0.0,25,0.0,0.9
118,Paraguay,27,5,2.0,1.0,0.0,25,1.0,4.0
119,Montenegro,27,0,1.0,0.0,0.0,26,0.0,43.0
120,Bolivia,27,0,0.0,0.0,0.0,27,0.0,2.0
121,Macao,25,0,0.0,0.0,10.0,15,0.0,39.0
122,Ivory Coast,25,0,0.0,0.0,2.0,23,0.0,0.9
123,Mayotte,24,0,0.0,0.0,0.0,24,0.0,88.0
124,Monaco,23,0,0.0,0.0,1.0,22,0.0,586.0
125,Guatemala,20,0,1.0,0.0,0.0,19,0.0,1.0
126,Guyana,20,0,1.0,0.0,0.0,19,0.0,25.0
127,French Guiana,20,0,0.0,0.0,6.0,14,0.0,67.0
128,Jamaica,19,0,1.0,0.0,2.0,16,0.0,6.0
129,French Polynesia,18,0,0.0,0.0,0.0,18,0.0,64.0
130,Togo,18,0,0.0,0.0,0.0,18,0.0,2.0
131,Barbados,17,0,0.0,0.0,0.0,17,0.0,59.0
132,U.S. Virgin Islands,17,0,0.0,0.0,0.0,17,0.0,163.0
133,Kenya,16,0,0.0,0.0,0.0,16,0.0,0.3
134,Kyrgyzstan,16,0,0.0,0.0,0.0,16,0.0,2.0
135,Gibraltar,15,0,0.0,0.0,5.0,10,0.0,445.0
136,Isle of Man,13,0,0.0,0.0,0.0,13,0.0,153.0
137,Maldives,13,0,0.0,0.0,5.0,8,0.0,24.0
138,Aruba,12,3,0.0,0.0,1.0,11,0.0,112.0
139,Madagascar,12,0,0.0,0.0,0.0,12,0.0,0.4
140,Tanzania,12,0,0.0,0.0,0.0,12,0.0,0.2
141,Ethiopia,11,0,0.0,0.0,0.0,11,0.0,0.1
142,Mongolia,10,0,0.0,0.0,0.0,10,0.0,3.0
143,Equatorial Guinea,9,0,0.0,0.0,0.0,9,0.0,6.0
144,Uganda,9,0,0.0,0.0,0.0,9,0.0,0.2
145,New Caledonia,8,0,0.0,0.0,0.0,8,0.0,28.0
146,Saint Martin,8,0,0.0,0.0,0.0,8,0.0,207.0
147,Seychelles,7,0,0.0,0.0,0.0,7,0.0,71.0
148,Gabon,6,0,1.0,0.0,0.0,5,0.0,3.0
149,Benin,6,0,0.0,0.0,0.0,6,0.0,0.5
150,Bermuda,6,0,0.0,0.0,0.0,6,0.0,96.0
151,Haiti,6,0,0.0,0.0,0.0,6,0.0,0.5
152,Suriname,6,1,0.0,0.0,0.0,6,0.0,10.0
153,Cayman Islands,5,0,1.0,0.0,0.0,4,0.0,76.0
154,El Salvador,5,2,0.0,0.0,0.0,5,0.0,0.8
155,Curaçao,4,0,1.0,0.0,0.0,3,0.0,24.0
156,Bahamas,4,0,0.0,0.0,0.0,4,0.0,10.0
157,Congo,4,0,0.0,0.0,0.0,4,0.0,0.7
158,Fiji,4,1,0.0,0.0,0.0,4,0.0,4.0
159,Greenland,4,0,0.0,0.0,0.0,4,0.0,70.0
160,Guinea,4,0,0.0,0.0,0.0,4,0.0,0.3
161,Namibia,4,0,0.0,0.0,0.0,4,0.0,2.0
162,Eswatini,4,0,0.0,0.0,0.0,4,0.0,3.0
163,Zimbabwe,3,0,1.0,0.0,0.0,2,0.0,0.2
164,Angola,3,0,0.0,0.0,0.0,3,0.0,0.09
165,Antigua and Barbuda,3,0,0.0,0.0,0.0,3,0.0,31.0
166,Cabo Verde,3,0,0.0,0.0,0.0,3,0.0,5.0
167,CAR,3,0,0.0,0.0,0.0,3,0.0,0.6
168,Djibouti,3,0,0.0,0.0,0.0,3,0.0,3.0
169,Liberia,3,0,0.0,0.0,0.0,3,0.0,0.6
